OBJECTID,Join_Count,TARGET_FID,studyid,lon,lat,ph,pH_class,soc,SOC_class,tn,TN_class,ap,AP_class,clay,clay_class,map,map_class,mat,mat_class,Cropland_type,cropland,Tillage_methods,tillage,Classification_1,fm,gm,cof,haof,Classification_2,Classification_3,Classification_4,time,Time,dosages,Dosages,n_t,n_c,nuet_mean,nuet_sd,nuec_mean,nuec_sd,yi,vi,cluster
1,1,0,1,55.5,21.08333333,5.8,weak acid,123,high SOC,10.9,high TN,71.39697143,,13.9,low clay,97,low map,29.10417,high mat,dryland,1,,NA,farmyard manure,1,0,0,0,manure,livestock,livestock,10,5-10 a,21250,15-22.5,3,3,6.7,0.1,5.7,0.1,0.161641352,0.000176851,Zone2
2,1,1,1,55.5,21.08333333,5.8,weak acid,123,high SOC,10.9,high TN,71.39697143,,13.9,low clay,97,low map,29.10417,high mat,dryland,1,,NA,farmyard manure,1,0,0,0,manure,livestock,livestock,10,5-10 a,36250,30-45,3,3,7,0.1,5.7,0.1,0.205443974,0.000170623,Zone2
3,1,2,1,55.5,21.08333333,5.8,weak acid,123,high SOC,10.9,high TN,71.39697143,,13.9,low clay,97,low map,29.10417,high mat,dryland,1,,NA,farmyard manure,1,0,0,0,compost,animal,animal,10,5-10 a,24286,22.5-30,3,3,6.3,0.1,5.7,0.1,0.100083459,0.00018658,Zone2
4,1,3,1,55.5,21.08333333,5.8,weak acid,123,high SOC,10.9,high TN,71.39697143,,13.9,low clay,97,low map,29.10417,high mat,dryland,1,,NA,farmyard manure,1,0,0,0,compost,animal,animal,10,5-10 a,41428,30-45,3,3,6.5,0.1,5.7,0.1,0.131336002,0.000181491,Zone2
5,1,4,2,-53.27514722,-22.23521389,4.8,strong acid,19,high SOC,1.623275221,,18.0484,,13.9,low clay,1351,high map,22.44167,mediun mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,compost,animal,animal,3,1-5 a,4000,0-7.5,4,4,5.31746,0.118653956,4.77778,0.108733653,0.107019742,0.000253963,Zone1
6,1,5,2,-53.27514722,-22.23521389,4.8,strong acid,19,high SOC,1.623275221,,18.0484,,13.9,low clay,1351,high map,22.44167,mediun mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,compost,animal,animal,3,1-5 a,8000,7.5-15,4,4,6.42857,0.143447297,4.77778,0.108733653,0.296776115,0.000253963,Zone1
7,1,6,2,-53.27514722,-22.23521389,4.8,strong acid,19,high SOC,1.623275221,,18.0484,,13.9,low clay,1351,high map,22.44167,mediun mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,compost,animal,animal,3,1-5 a,12000,7.5-15,4,4,7.11111,0.158677514,4.77778,0.108733653,0.397682346,0.000253963,Zone1
8,1,7,2,-53.27514722,-22.23521389,4.8,strong acid,19,high SOC,1.623275221,,18.0484,,13.9,low clay,1351,high map,22.44167,mediun mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,compost,animal,animal,3,1-5 a,16000,15-22.5,4,4,7.15873,0.159740108,4.77778,0.108733653,0.404356587,0.000253963,Zone1
9,1,8,2,-53.27514722,-22.23521389,6.2,weak acid,28,high SOC,1.840975221,,13.07003636,,77.3,high clay,1351,high map,22.44167,mediun mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,compost,animal,animal,3,1-5 a,4000,0-7.5,4,4,6.35857,0.141885315,6.13546,0.139632,0.035718454,0.000253963,Zone1
10,1,9,2,-53.27514722,-22.23521389,6.2,weak acid,28,high SOC,1.840975221,,13.07003636,,77.3,high clay,1351,high map,22.44167,mediun mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,compost,animal,animal,3,1-5 a,8000,7.5-15,4,4,6.80478,0.151842057,6.13546,0.139632,0.103540251,0.000253963,Zone1
11,1,10,2,-53.27514722,-22.23521389,6.2,weak acid,28,high SOC,1.840975221,,13.07003636,,77.3,high clay,1351,high map,22.44167,mediun mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,compost,animal,animal,3,1-5 a,12000,7.5-15,4,4,7.01195,0.156464855,6.13546,0.139632,0.133530781,0.000253963,Zone1
12,1,11,2,-53.27514722,-22.23521389,6.2,weak acid,28,high SOC,1.840975221,,13.07003636,,77.3,high clay,1351,high map,22.44167,mediun mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,compost,animal,animal,3,1-5 a,16000,15-22.5,4,4,7.09163,0.158242837,6.13546,0.139632,0.14483016,0.000253963,Zone1
13,1,12,3,119.3333333,29.28333333,4.63,strong acid,14.45978189,,1.3761,,175.9423,,39,mediun clay,1900,high map,16.3,mediun mat,dryland,1,,1,farmyard manure,1,0,0,0,compost,animal,animal,0.25,0-1 a,10000,7.5-15,3,3,4.86,0.02,4.63,0.02,0.04848157,0.0000119,Zone1
14,1,13,4,5.583333333,7.2,5.4,medium-strong acid,9.4,low SOC,0.8,low TN,6.8,low AP,17.2,low clay,1391,high map,25.125,high mat,,1,,1,farmyard manure,1,0,0,0,manure,livestock,livestock,3,1-5 a,20000,15-22.5,3,3,6.5,0.145041188,5.3,0.120618438,0.204095356,0.000338617,Zone1
15,1,14,4,5.583333333,7.2,5.4,medium-strong acid,9.4,low SOC,0.8,low TN,6.8,low AP,17.2,low clay,1391,high map,25.125,high mat,,1,,1,farmyard manure,1,0,0,0,manure,poultry,poultry,3,1-5 a,20000,15-22.5,3,3,6.6,0.147272591,5.3,0.120618438,0.219362828,0.000338617,Zone1
16,1,15,4,5.583333333,7.2,5.4,medium-strong acid,9.4,low SOC,0.8,low TN,6.8,low AP,17.2,low clay,1391,high map,25.125,high mat,,1,,1,farmyard manure,1,0,0,0,plant ash,,plant ash,3,1-5 a,20000,15-22.5,3,3,7,0.156198202,5.3,0.120618438,0.278203328,0.000338617,Zone1
17,1,16,4,5.583333333,7.2,5.4,medium-strong acid,9.4,low SOC,0.8,low TN,6.8,low AP,17.2,low clay,1391,high map,25.125,high mat,,1,,1,farmyard manure,1,0,0,0,compost,plant,plant,3,1-5 a,20000,15-22.5,3,3,6.3,0.140578382,5.3,0.120618438,0.172842813,0.000338617,Zone1
18,1,17,5,13.1,58.34,6.24,weak acid,20.1,high SOC,1.7,medium TN,72.28993423,,42,mediun clay,455,low map,9.1,low mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,compost,straw,straw,18,10-20 a,NA,,4,4,6.23,0.03,6.24,0.08,-0.00160385,0.0000469,Zone1
19,1,18,5,13.1,58.34,6.24,weak acid,20.1,high SOC,1.7,medium TN,72.28993423,,42,mediun clay,455,low map,9.1,low mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,stable manure,,stable manure,18,10-20 a,NA,,4,4,6.31,0.16,6.24,0.08,0.011155494,0.00020183,Zone1
20,1,19,5,13.1,58.34,6.24,weak acid,20.1,high SOC,1.7,medium TN,72.28993423,,42,mediun clay,455,low map,9.1,low mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,compost,undefined,,18,10-20 a,NA,,4,4,6.49,0.05,6.24,0.08,0.039282348,0.0000559,Zone1
21,1,20,5,13.1,58.34,6.24,weak acid,20.1,high SOC,1.7,medium TN,72.28993423,,42,mediun clay,455,low map,9.1,low mat,dryland,1,crop rotation,1,undefined,0,0,0,0,,,,18,10-20 a,NA,,4,4,5.98,0.14,6.24,0.08,-0.042559614,0.000178114,Zone1
22,1,21,6,116.1726833,28.35168889,6,weak acid,9.39,low SOC,0.98,low TN,12.9,low AP,36,mediun clay,1549,high map,17.2,mediun mat,dryland,1,,0,farmyard manure,1,0,0,0,manure,livestock,livestock,30,20-30 a,15000,7.5-15,3,3,5.98,0.01,4.68,0.23,0.245122458,0.000806019,Zone1
23,1,22,7,17.86111111,53.20666667,4.2,super strong acid,4.43,low SOC,0.912816175,,121.818,high AP,4,low clay,450,low map,8.091666,low mat,,1,,0,farmyard manure,1,0,0,0,compost,straw,straw,10,5-10 a,5000,0-7.5,5,5,6.3,0.140578382,6,0.136549175,0.048790164,0.00020317,Zone1
24,1,23,7,17.86111111,53.20666667,4.2,super strong acid,4.43,low SOC,0.912816175,,121.818,high AP,4,low clay,450,low map,8.091666,low mat,,1,,0,farmyard manure,1,0,0,0,undefined,,,10,5-10 a,40000,30-45,5,5,6.1,0.136115576,6.6,0.150204093,-0.078780878,0.00020317,Zone1
25,1,24,7,17.86111111,53.20666667,4.2,super strong acid,4.43,low SOC,0.912816175,,121.818,high AP,4,low clay,450,low map,8.091666,low mat,,1,,0,farmyard manure,1,0,0,0,undefined,,,10,5-10 a,40000,30-45,5,5,5.8,0.129421368,6,0.136549175,-0.033901552,0.00020317,Zone1
26,1,25,8,107.6833333,35.23333333,5.1,medium-strong acid,7.82,low SOC,0.9,low TN,1.36,low AP,21,low clay,1400,high map,17.7,mediun mat,dryland,1,continuous cropping,0,farmyard manure,1,0,0,0,manure,undefined,,30,20-30 a,15000,7.5-15,3,3,6.01,0.08,4.71,0.1,0.243736841,0.00020932,Zone3
27,1,26,8,123.55,41.8,5.7,weak acid,9.22,low SOC,0.89,low TN,2,low AP,23,low clay,705,medium map,7.9,low mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,manure,undefined,,37,30-40 a,27000,22.5-30,3,3,6.39,0.11,5.14,0.03,0.217681189,0.000110134,Zone2
28,1,27,9,140.25,38.25,5.56,weak acid,8.9,low SOC,1.1,low TN,58.66074286,,23,low clay,1163,high map,11.7,mediun mat,paddy,0,continuous cropping,0,undefined,0,0,0,0,,,,31,30-40 a,1800,0-7.5,3,3,5.8,0.09851,5.66866,0.13433,0.022905159,0.000283339,Zone2
29,1,28,9,140.25,38.25,5.56,weak acid,8.9,low SOC,1.1,low TN,58.66074286,,23,low clay,1163,high map,11.7,mediun mat,paddy,0,continuous cropping,0,farmyard manure,1,0,0,0,compost,straw,straw,31,30-40 a,6000,0-7.5,3,3,5.54328,0.15821,5.66866,0.13433,-0.022366375,0.000458709,Zone2
30,1,29,9,140.25,38.25,5.56,weak acid,8.9,low SOC,1.1,low TN,58.66074286,,23,low clay,1163,high map,11.7,mediun mat,paddy,0,continuous cropping,0,undefined,0,0,0,0,,,,31,30-40 a,1800,0-7.5,3,3,5.54328,0.1015,5.54328,0.15821,0,0.000383285,Zone2
31,1,30,9,140.25,38.25,5.56,weak acid,8.9,low SOC,1.1,low TN,58.66074286,,23,low clay,1163,high map,11.7,mediun mat,paddy,0,continuous cropping,0,farmyard manure,1,0,0,0,compost,straw,straw,31,30-40 a,10000,7.5-15,3,3,5.52239,0.12836,5.66866,0.13433,-0.026142021,0.00036727,Zone2
32,1,31,9,140.25,38.25,5.56,weak acid,8.9,low SOC,1.1,low TN,58.66074286,,23,low clay,1163,high map,11.7,mediun mat,paddy,0,continuous cropping,0,undefined,0,0,0,0,,,,31,30-40 a,1800,0-7.5,3,3,5.58806,0.04776,5.52239,0.12836,0.011821441,0.000204437,Zone2
33,1,32,10,126.5833333,45.66666667,6.43,weak acid,14.15,medium SOC,1.2,low TN,20,low AP,23,low clay,528,medium map,4.325,low mat,,1,,0,farmyard manure,1,0,0,0,manure,livestock,livestock,35,30-40 a,18600,15-22.5,3,3,6.38,0.05,6.18,0.04,0.031849826,0.0000344,Zone3
34,1,33,11,127.45,50.25,6.35,weak acid,24.01,high SOC,1.94,medium TN,9.1,low AP,23,low clay,400,low map,-0.5,low mat,dryland,1,crop rotation,1,farmyard manure,1,0,0,0,compost,animal,animal,40,40-50 a,15000,7.5-15,3,3,6.6411,0.10307,6.1773,0.03006,0.07239633,0.0000882,Zone2
